# {"exp_name": "Vowels", "audio_controller": {"TYPE": "sound_card", "SOUND_CARD_API": "ASIO", "SOUND_CARD_BACKEND": "rtmixer", "SOUND_CARD_NAME": "ASIO HDSPe FX", "SOUND_CARD_FS": 48000.0, "SOUND_CARD_TRIGGER_CHANNELS": 1}, "response_device": null, "stim_rms": 0.01, "stim_fs": 48000.0, "stim_db": 50, "noise_db": 45, "output_dir": "data", "window_size": null, "screen_num": 0, "full_screen": false, "force_quit": ["end", "lctrl"], "participant": "VowelsTalkers005", "monitor": null, "trigger_controller": "sound_card", "session": "foo", "check_rms": "wholefile", "suppress_resamp": false, "version": "dev", "enable_video": false, "safe_flipping": null, "n_channels": 53, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2021-11-30 17_21_56.134218", "file": "F:\\Code\\Vowels_VR\\Vowels_VR\\Vowels_1v2a_Talkers_run_experiment.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
3.6740174000000003	flip	3.6740122999999993
3.6818682999999996	flip	3.681846499999999
3.6958944999999996	flip	3.6958896999999986
310.3398844	trial_id	talkers_training_unisensory_0
310.3455823	blips	[5.877777777777778]
310.7090374	screen_text	Playing auditory training trial 0
310.7091196	flip	310.7090331
310.7103474	play	None
314.6968946	response	(3.974853515625,)
314.6970419	stop	None
314.6979152	responses	3.974853515625
314.6980559	trial_ok	None
315.7041043	trial_id	talkers_training_unisensory_1
315.7076798	blips	[3.7111111111111112]
316.1331101	screen_text	Playing auditory training trial 1
316.1333244	flip	316.1331032
316.1352165	play	None
320.1945606	response	(4.0540771484375,)
320.1947521	stop	None
320.1957861	responses	4.0540771484375
320.1958683	trial_ok	None
321.2020145	trial_id	talkers_training_unisensory_2
321.2055651	blips	[5.433333333333334]
321.5900797	screen_text	Playing auditory training trial 2
321.5901721	flip	321.59007429999997
321.5911251	play	None
327.2907661	response	(5.691802978515625,)
327.2908747	stop	None
327.2913641	responses	5.691802978515625
327.2913998	trial_ok	None
337.79215569999997	trial_id	talkers_training_unisensory_3
337.79699139999997	blips	[5.844444444444444]
338.2855723	screen_text	Playing visual training trial 3
338.2857743	flip	338.2855578
338.2878304	play	None
344.4375622	response	(6.14501953125,)
344.4377502	stop	None
344.4388217	responses	6.14501953125
344.4388766	trial_ok	None
345.4466223	trial_id	talkers_training_unisensory_4
345.4505057	blips	[3.3222222222222224]
345.9403989	screen_text	Playing visual training trial 4
345.9405411	flip	345.9403875
345.9418552	play	None
349.6484708	response	(3.70318603515625,)
349.6486753	stop	None
349.6494728	responses	3.70318603515625
349.6495392	trial_ok	None
350.6561381	trial_id	talkers_training_unisensory_5
350.661079	blips	[3.7111111111111112]
351.1761925	screen_text	Playing visual training trial 5
351.1764512	flip	351.1761834
351.178388	play	None
355.27991249999997	response	(4.0931396484375,)
355.2801031	stop	None
355.2811425	responses	4.0931396484375
355.2811884	trial_ok	None
372.7199746	trial_id	talkers_training_6
372.7245042	blips	[[3.2333333333333334], [10.877777777777778, 8.4, 12.144444444444444], [4.9222222222222225]]
373.4025847	screen_text	Playing training trial 6
373.4026824	flip	373.4025792
373.4036727	play	None
388.4141742	response	(3.59747314453125, 6.806884765625)
388.4143907	stop	None
388.4153405	responses	[3.59747314453125, 6.806884765625]
388.4154	trial_ok	None
389.4219364	trial_id	talkers_training_7
389.4253436	blips	[[3.3444444444444446], [7.977777777777778, 4.866666666666666, 10.544444444444444], [11.877777777777778]]
390.0756866	screen_text	Playing training trial 7
390.0757551	flip	390.0756837
390.0769384	play	None
405.0938335	response	(3.71002197265625,)
405.0940447	stop	None
405.0949454	responses	[3.71002197265625]
